name,aligned,not-aligned
HCS,90.6573724621,86.1278367091
I.W.,129.392357689,166.984725776
J.Q,98.9564455017,180.433977629
JF,191.112446377,246.149458254
KS,127.187027668,80.6351894415
LR,171.702364743,137.151076994
MDR,143.598748549,210.252146423
P,156.401927176,235.28663383
SAW,193.936698611,76.631851358
SH,232.677146873,186.63120691
SM,166.505344483,123.097024148
SR,65.5954798563,107.910223004
TM,111.842102085,129.542700995
X to the Z Xzibit ,141.89118505,184.437213235
ssa,104.51863735,124.540968259
vs,41.5527992246,156.302243317
